index,Timestamp,ADF,Brand,FV Full Plato,Plato,Fermentation ID,Elapsed,tdif,adfdif
8888,2017-03-23 11:08:00,0.0,Realtime Hops,13.51553,0,Fermentor 31201732314856,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0
9506,2017-03-23 21:26:00,0.104733542,Realtime Hops,13.51553,12.1,Fermentor 31201732314856,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.104733542
9663,2017-03-24 00:03:00,0.141728014,Realtime Hops,13.51553,11.6,Fermentor 31201732314856,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.141728014
9837,2017-03-24 02:57:00,0.186121419,Realtime Hops,13.51553,11,Fermentor 31201732314856,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.186121419
10507,2017-03-24 14:07:00,0.378492743,Realtime Hops,13.51553,8.4,Fermentor 31201732314856,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.378492743
11111,2017-03-25 00:11:00,0.5782629,Realtime Hops,13.51553,5.7,Fermentor 31201732314856,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.5782629
11822,2017-03-25 12:02:00,0.71884197,Realtime Hops,13.51553,3.8,Fermentor 31201732314856,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.71884197
45895,2017-03-29 03:54:00,0.0,Alistair,10.81004,0,FV322016113055113,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0
46374,2017-03-29 11:53:00,0.111936688,Alistair,10.81004,9.6,FV322016113055113,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.111936688
46893,2017-03-29 20:32:00,0.25069657,Alistair,10.81004,8.1,FV322016113055113,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.25069657
47108,2017-03-30 00:07:00,0.333952546,Alistair,10.81004,7.2,FV322016113055113,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.333952546
47738,2017-03-30 10:37:00,0.592970967,Alistair,10.81004,4.4,FV322016113055113,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.592970967
48588,2017-03-31 00:47:00,0.7687335,Alistair,10.81004,2.5,FV322016113055113,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.7687335
59099,2017-03-18 07:57:00,0.0,Kerberos,14.6819,0,Fermentor 3320173183371,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0
59369,2017-03-18 12:27:00,0.0328227431,Kerberos,14.6819,14.2,Fermentor 3320173183371,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0328227431
59698,2017-03-18 17:56:00,0.134989351,Kerberos,14.6819,12.7,Fermentor 3320173183371,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.134989351
60109,2017-03-19 00:47:00,0.2099115,Kerberos,14.6819,11.6,Fermentor 3320173183371,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.2099115
