,index,Timestamp,ADF,Brand,FV Full Plato,Plato,Fermentation ID
52,14041,2017-06-22 19:10:00+00:00,0.5782629,Realtime Hops,13.515529999999998,5.7,Fermentor 31201762082561
53,14112,2017-06-23 07:00:00+00:00,0.71884197,Realtime Hops,13.515529999999998,3.8,Fermentor 31201762082561
54,15673,2017-07-04 03:10:00+00:00,0.0,Realtime Hops,13.50309,0.0,Fermentor 3120177372064
55,15695,2017-07-04 06:50:00+00:00,0.04466313,Realtime Hops,13.50309,12.9,Fermentor 3120177372064
56,15710,2017-07-04 09:20:00+00:00,0.06688021,Realtime Hops,13.50309,12.6,Fermentor 3120177372064
57,15741,2017-07-04 14:30:00+00:00,0.111314513,Realtime Hops,13.50309,12.0,Fermentor 3120177372064
58,15766,2017-07-04 18:40:00+00:00,0.16315448300000002,Realtime Hops,13.50309,11.3,Fermentor 3120177372064
59,15870,2017-07-05 12:00:00+00:00,0.489005834,Realtime Hops,13.50309,6.9,Fermentor 3120177372064
60,15913,2017-07-05 19:10:00+00:00,0.637120068,Realtime Hops,13.50309,4.9,Fermentor 3120177372064
61,17842,2017-07-19 04:40:00+00:00,0.0,Realtime Hops,13.515529999999998,0.0,Fermentor 31201771877762
62,17904,2017-07-19 15:00:00+00:00,0.104733542,Realtime Hops,13.515529999999998,12.1,Fermentor 31201771877762
63,17919,2017-07-19 17:30:00+00:00,0.141728014,Realtime Hops,13.515529999999998,11.6,Fermentor 31201771877762
64,17937,2017-07-19 20:30:00+00:00,0.18612141899999998,Realtime Hops,13.515529999999998,11.0,Fermentor 31201771877762
65,18004,2017-07-20 07:40:00+00:00,0.37849274299999996,Realtime Hops,13.515529999999998,8.4,Fermentor 31201771877762
66,18065,2017-07-20 17:50:00+00:00,0.5782629,Realtime Hops,13.515529999999998,5.7,Fermentor 31201771877762
67,18136,2017-07-21 05:40:00+00:00,0.71884197,Realtime Hops,13.515529999999998,3.8,Fermentor 31201771877762
68,19697,2017-08-01 01:50:00+00:00,0.0,Realtime Hops,13.50309,0.0,Fermentor 31201773167280
69,19718,2017-08-01 05:20:00+00:00,0.04466313,Realtime Hops,13.50309,12.9,Fermentor 31201773167280
70,19734,2017-08-01 08:00:00+00:00,0.06688021,Realtime Hops,13.50309,12.6,Fermentor 31201773167280
71,19765,2017-08-01 13:10:00+00:00,0.111314513,Realtime Hops,13.50309,12.0,Fermentor 31201773167280
72,19790,2017-08-01 17:20:00+00:00,0.16315448300000002,Realtime Hops,13.50309,11.3,Fermentor 31201773167280
73,19893,2017-08-02 10:30:00+00:00,0.489005834,Realtime Hops,13.50309,6.9,Fermentor 31201773167280
74,19937,2017-08-02 17:50:00+00:00,0.637120068,Realtime Hops,13.50309,4.9,Fermentor 31201773167280
75,22015,2017-08-17 04:10:00+00:00,0.0,Realtime Hops,13.515529999999998,0.0,Fermentor 31201781675961
76,22077,2017-08-17 14:30:00+00:00,0.104733542,Realtime Hops,13.515529999999998,12.1,Fermentor 31201781675961
77,22092,2017-08-17 17:00:00+00:00,0.141728014,Realtime Hops,13.515529999999998,11.6,Fermentor 31201781675961
78,22110,2017-08-17 20:00:00+00:00,0.18612141899999998,Realtime Hops,13.515529999999998,11.0,Fermentor 31201781675961
79,22177,2017-08-18 07:10:00+00:00,0.37849274299999996,Realtime Hops,13.515529999999998,8.4,Fermentor 31201781675961
80,22238,2017-08-18 17:20:00+00:00,0.5782629,Realtime Hops,13.515529999999998,5.7,Fermentor 31201781675961
81,22309,2017-08-19 05:10:00+00:00,0.71884197,Realtime Hops,13.515529999999998,3.8,Fermentor 31201781675961
82,23899,2017-08-30 06:10:00+00:00,0.0,Realtime Hops,13.515529999999998,0.0,Fermentor 31201782982870
83,23960,2017-08-30 16:20:00+00:00,0.104733542,Realtime Hops,13.515529999999998,12.1,Fermentor 31201782982870
84,23976,2017-08-30 19:00:00+00:00,0.141728014,Realtime Hops,13.515529999999998,11.6,Fermentor 31201782982870
85,23993,2017-08-30 21:50:00+00:00,0.18612141899999998,Realtime Hops,13.515529999999998,11.0,Fermentor 31201782982870
86,24060,2017-08-31 09:00:00+00:00,0.37849274299999996,Realtime Hops,13.515529999999998,8.4,Fermentor 31201782982870
87,24121,2017-08-31 19:10:00+00:00,0.5782629,Realtime Hops,13.515529999999998,5.7,Fermentor 31201782982870
88,24192,2017-09-01 07:00:00+00:00,0.71884197,Realtime Hops,13.515529999999998,3.8,Fermentor 31201782982870
89,26922,2017-09-20 06:00:00+00:00,0.0,Realtime Hops,13.515529999999998,0.0,Fermentor 31201791982568
