index,Timestamp,ADF,Brand,FV Full Plato,Plato,Fermentation ID,Elapsed,tdif,adfdif
889,2017-03-23 11:10:00+00:00,0.0,Realtime Hops,13.515529999999998,0.0,Fermentor 31201732314856,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0
951,2017-03-23 21:30:00+00:00,0.104733542,Realtime Hops,13.515529999999998,12.1,Fermentor 31201732314856,0 days 10:20:00.000000000,0 days 10:20:00.000000000,0.104733542
967,2017-03-24 00:10:00+00:00,0.141728014,Realtime Hops,13.515529999999998,11.6,Fermentor 31201732314856,0 days 13:00:00.000000000,0 days 02:40:00.000000000,0.036994472000000014
984,2017-03-24 03:00:00+00:00,0.18612141899999998,Realtime Hops,13.515529999999998,11.0,Fermentor 31201732314856,0 days 15:50:00.000000000,0 days 02:50:00.000000000,0.04439340499999997
1051,2017-03-24 14:10:00+00:00,0.37849274299999996,Realtime Hops,13.515529999999998,8.4,Fermentor 31201732314856,1 days 03:00:00.000000000,0 days 11:10:00.000000000,0.19237132399999998
1112,2017-03-25 00:20:00+00:00,0.5782629,Realtime Hops,13.515529999999998,5.7,Fermentor 31201732314856,1 days 13:10:00.000000000,0 days 10:10:00.000000000,0.19977015700000006
1183,2017-03-25 12:10:00+00:00,0.71884197,Realtime Hops,13.515529999999998,3.8,Fermentor 31201732314856,2 days 01:00:00.000000000,0 days 11:50:00.000000000,0.14057907000000003
3210,2017-04-08 14:00:00+00:00,0.0,Realtime Hops,13.515529999999998,0.0,Fermentor 3120174824961,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0
3272,2017-04-09 00:20:00+00:00,0.104733542,Realtime Hops,13.515529999999998,12.1,Fermentor 3120174824961,0 days 10:20:00.000000000,0 days 10:20:00.000000000,0.104733542
3287,2017-04-09 02:50:00+00:00,0.141728014,Realtime Hops,13.515529999999998,11.6,Fermentor 3120174824961,0 days 12:50:00.000000000,0 days 02:30:00.000000000,0.036994472000000014
3305,2017-04-09 05:50:00+00:00,0.18612141899999998,Realtime Hops,13.515529999999998,11.0,Fermentor 3120174824961,0 days 15:50:00.000000000,0 days 03:00:00.000000000,0.04439340499999997
3372,2017-04-09 17:00:00+00:00,0.37849274299999996,Realtime Hops,13.515529999999998,8.4,Fermentor 3120174824961,1 days 03:00:00.000000000,0 days 11:10:00.000000000,0.19237132399999998
3432,2017-04-10 03:00:00+00:00,0.5782629,Realtime Hops,13.515529999999998,5.7,Fermentor 3120174824961,1 days 13:00:00.000000000,0 days 10:00:00.000000000,0.19977015700000006
