time,adf,tdif,adfdif,A,B
37200,0.104733542,37200.0,0.104733542,13.515529999999998,12.1
46800,0.141728014,9600.0,0.036994472000000014,13.515529999999998,11.6
57000,0.18612141899999998,10200.0,0.04439340499999997,13.515529999999998,11.0
97200,0.37849274299999996,40200.0,0.19237132399999998,13.515529999999998,8.4
133800,0.5782629,36600.0,0.19977015700000006,13.515529999999998,5.7
176400,0.71884197,42600.0,0.14057907000000003,13.515529999999998,3.8
37200,0.104733542,37200.0,0.104733542,13.515529999999998,12.1
46200,0.141728014,9000.0,0.036994472000000014,13.515529999999998,11.6
57000,0.18612141899999998,10800.0,0.04439340499999997,13.515529999999998,11.0
97200,0.37849274299999996,40200.0,0.19237132399999998,13.515529999999998,8.4
133200,0.5782629,36000.0,0.19977015700000006,13.515529999999998,5.7
175800,0.71884197,42600.0,0.14057907000000003,13.515529999999998,3.8
37200,0.104733542,37200.0,0.104733542,13.515529999999998,12.1
46200,0.141728014,9000.0,0.036994472000000014,13.515529999999998,11.6
57000,0.18612141899999998,10800.0,0.04439340499999997,13.515529999999998,11.0
96600,0.37849274299999996,39600.0,0.19237132399999998,13.515529999999998,8.4
151200,0.5782629,54600.0,0.19977015700000006,13.515529999999998,5.7
175800,0.71884197,24600.0,0.14057907000000003,13.515529999999998,3.8
37200,0.104733542,37200.0,0.104733542,13.515529999999998,12.1
46200,0.141728014,9000.0,0.036994472000000014,13.515529999999998,11.6
56400,0.18612141899999998,10200.0,0.04439340499999997,13.515529999999998,11.0
96600,0.37849274299999996,40200.0,0.19237132399999998,13.515529999999998,8.4
133200,0.5782629,36600.0,0.19977015700000006,13.515529999999998,5.7
175800,0.71884197,42600.0,0.14057907000000003,13.515529999999998,3.8
37200,0.104733542,37200.0,0.104733542,13.515529999999998,12.1
46200,0.141728014,9000.0,0.036994472000000014,13.515529999999998,11.6
57000,0.18612141899999998,10800.0,0.04439340499999997,13.515529999999998,11.0
96600,0.37849274299999996,39600.0,0.19237132399999998,13.515529999999998,8.4
133200,0.5782629,36600.0,0.19977015700000006,13.515529999999998,5.7
175800,0.71884197,42600.0,0.14057907000000003,13.515529999999998,3.8
13200,0.04466313,13200.0,0.04466313,13.50309,12.9
22800,0.06688021,9600.0,0.022217079999999993,13.50309,12.6
40800,0.111314513,18000.0,0.04443430300000001,13.50309,12.0
55800,0.16315448300000002,15000.0,0.05183997000000001,13.50309,11.3
118200,0.489005834,62400.0,0.32585135099999996,13.50309,6.9
144600,0.637120068,26400.0,0.148114234,13.50309,4.9
189000,0.7333944,44400.0,0.09627433200000002,13.50309,3.6
37200,0.104733542,37200.0,0.104733542,13.515529999999998,12.1
46800,0.141728014,9600.0,0.036994472000000014,13.515529999999998,11.6
57000,0.18612141899999998,10200.0,0.04439340499999997,13.515529999999998,11.0
97200,0.37849274299999996,40200.0,0.19237132399999998,13.515529999999998,8.4
133800,0.5782629,36600.0,0.19977015700000006,13.515529999999998,5.7
176400,0.71884197,42600.0,0.14057907000000003,13.515529999999998,3.8
13200,0.04466313,13200.0,0.04466313,13.50309,12.9
22200,0.06688021,9000.0,0.022217079999999993,13.50309,12.6
40800,0.111314513,18600.0,0.04443430300000001,13.50309,12.0
55800,0.16315448300000002,15000.0,0.05183997000000001,13.50309,11.3
118200,0.489005834,62400.0,0.32585135099999996,13.50309,6.9
144000,0.637120068,25800.0,0.148114234,13.50309,4.9
37200,0.104733542,37200.0,0.104733542,13.515529999999998,12.1
46200,0.141728014,9000.0,0.036994472000000014,13.515529999999998,11.6
57000,0.18612141899999998,10800.0,0.04439340499999997,13.515529999999998,11.0
97200,0.37849274299999996,40200.0,0.19237132399999998,13.515529999999998,8.4
133800,0.5782629,36600.0,0.19977015700000006,13.515529999999998,5.7
176400,0.71884197,42600.0,0.14057907000000003,13.515529999999998,3.8
12600,0.04466313,12600.0,0.04466313,13.50309,12.9
22200,0.06688021,9600.0,0.022217079999999993,13.50309,12.6
40800,0.111314513,18600.0,0.04443430300000001,13.50309,12.0
55800,0.16315448300000002,15000.0,0.05183997000000001,13.50309,11.3
117600,0.489005834,61800.0,0.32585135099999996,13.50309,6.9
144000,0.637120068,26400.0,0.148114234,13.50309,4.9
37200,0.104733542,37200.0,0.104733542,13.515529999999998,12.1
46200,0.141728014,9000.0,0.036994472000000014,13.515529999999998,11.6
57000,0.18612141899999998,10800.0,0.04439340499999997,13.515529999999998,11.0
97200,0.37849274299999996,40200.0,0.19237132399999998,13.515529999999998,8.4
133800,0.5782629,36600.0,0.19977015700000006,13.515529999999998,5.7
176400,0.71884197,42600.0,0.14057907000000003,13.515529999999998,3.8
36600,0.104733542,36600.0,0.104733542,13.515529999999998,12.1
46200,0.141728014,9600.0,0.036994472000000014,13.515529999999998,11.6
56400,0.18612141899999998,10200.0,0.04439340499999997,13.515529999999998,11.0
96600,0.37849274299999996,40200.0,0.19237132399999998,13.515529999999998,8.4
133200,0.5782629,36600.0,0.19977015700000006,13.515529999999998,5.7
175800,0.71884197,42600.0,0.14057907000000003,13.515529999999998,3.8
37200,0.104733542,37200.0,0.104733542,13.515529999999998,12.1
46200,0.141728014,9000.0,0.036994472000000014,13.515529999999998,11.6
57000,0.18612141899999998,10800.0,0.04439340499999997,13.515529999999998,11.0
97200,0.37849274299999996,40200.0,0.19237132399999998,13.515529999999998,8.4
133800,0.5782629,36600.0,0.19977015700000006,13.515529999999998,5.7
175800,0.71884197,42000.0,0.14057907000000003,13.515529999999998,3.8
13200,0.04466313,0.0,0.04466313,13.50309,12.9
22800,0.06688021,9600.0,0.022217079999999993,13.50309,12.6
40800,0.111314513,18000.0,0.04443430300000001,13.50309,12.0
55800,0.16315448300000002,15000.0,0.05183997000000001,13.50309,11.3
118200,0.489005834,62400.0,0.32585135099999996,13.50309,6.9
144600,0.637120068,26400.0,0.148114234,13.50309,4.9
13200,0.044662863,13200.0,0.044662863,13.5030861,12.9
22800,0.06687995,9600.0,0.022217086999999996,13.5030861,12.6
40800,0.111314267,18000.0,0.044434317,13.5030861,12.0
55800,0.163154244,15000.0,0.05183997700000001,13.5030861,11.3
118200,0.489005685,62400.0,0.325851441,13.5030861,6.9
144600,0.63712,26400.0,0.148114315,13.5030861,4.9
34200,0.104136996,34200.0,0.104136996,13.50653,12.1
69600,0.23000209,35400.0,0.125865094,13.50653,10.4
129600,0.58538574,60000.0,0.35538365,13.50653,5.6
156000,0.674231648,26400.0,0.08884590800000003,13.50653,4.4
35400,0.059941682999999996,35400.0,0.059941682999999996,13.5098,12.7
77400,0.24499253899999998,42000.0,0.18505085599999999,13.5098,10.2
99600,0.36342504600000003,22200.0,0.11843250700000005,13.5098,8.6
150600,0.615094244,51000.0,0.251669198,13.5098,5.2
35400,0.059941682999999996,35400.0,0.059941682999999996,13.5098,12.7
77400,0.24499253899999998,42000.0,0.18505085599999999,13.5098,10.2
100200,0.36342504600000003,22800.0,0.11843250700000005,13.5098,8.6
35400,0.059941682999999996,35400.0,0.059941682999999996,13.5098,12.7
77400,0.24499253899999998,42000.0,0.18505085599999999,13.5098,10.2
100200,0.36342504600000003,22800.0,0.11843250700000005,13.5098,8.6
150600,0.615094244,50400.0,0.251669198,13.5098,5.2
34800,0.059941682999999996,34800.0,0.059941682999999996,13.5098,12.7
77400,0.24499253899999998,42600.0,0.18505085599999999,13.5098,10.2
99600,0.36342504600000003,22200.0,0.11843250700000005,13.5098,8.6
150000,0.615094244,50400.0,0.251669198,13.5098,5.2
187200,0.726124763,37200.0,0.11103051899999994,13.5098,3.7
35400,0.059941682999999996,35400.0,0.059941682999999996,13.5098,12.7
77400,0.24499253899999998,42000.0,0.18505085599999999,13.5098,10.2
99600,0.36342504600000003,22200.0,0.11843250700000005,13.5098,8.6
150600,0.615094244,51000.0,0.251669198,13.5098,5.2
35400,0.059941682999999996,35400.0,0.059941682999999996,13.5098,12.7
